id,text,lat,lng,img
1,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.852,01
2,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.852,01.5
3,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.853,02
4,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.856,02.5
5,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.85,03
6,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.85,04
7,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.85,05
8,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.852,06
9,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.76,16.884,07
10,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.853,08
11,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.755,16.892,08.5
12,"Lorizzle ipsum dolizzle crunk amizzle, dope adipiscing elit. Nullam sapizzle velizzle, fo shizzle volutpizzle, suscipizzle quizzle, gravida vizzle, arcu. Pellentesque things tortor. Fo eros. Ghetto izzle dolor fizzle mah nizzle tempus . Maurizzle stuff nibh brizzle sizzle. Fo shizzle izzle bow wow wow. My shizz eleifend rhoncizzle shit.",48.758,16.857,09
